economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13_1a,fin13_1b,fin13_1c,fin13_1d,fin13_1e,fin13_1f,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,175160143,0.177654458,2,34,3,5,1,,1,1,1,2,2,1,1,1,1,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,1,1,2,1,1,2,,1,1,1,1,2,,1,1,1,2,2,2,2,,1,3,3,2,,,,2,,,,1,1,1,2,,,1,2,1,1,,,1,2,2,,,,,2,,,,,,2,2,2,3,1,2,,1,0,1,4,4,4,1,5,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,196715468,0.31811824,1,25,3,4,1,,1,1,0,,,1,2,,2,2,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,2,2,1,2,1,,1,1,,2,2,2,2,,1,2,2,1,2,2,2,2,,,,1,2,2,,,1,1,2,1,2,,,1,2,2,,,,,2,,,,,,2,2,2,2,3,1,,1,0,1,4,4,4,2,4,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,137538586,0.422106618,1,26,2,5,1,,1,1,0,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,2,2,2,,,,2,2,,2,2,2,2,,1,3,1,1,2,1,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,1,4,4,4,4,4,3,1,2,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,132202737,1.299141243,1,23,3,5,1,,1,1,1,2,2,1,1,1,1,1,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,,,,,,,2,1,1,2,1,2,,1,1,1,1,2,,1,1,1,2,2,2,2,,1,3,2,1,1,,,1,1,,,2,,,,,,1,2,2,1,,,2,2,2,,,,,2,,,,,,2,2,2,2,2,2,,1,1,1,4,4,4,4,1,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,139964446,1.165876303,1,33,2,3,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,3,3,2,2,,1,0,4,4,4,4,2,5,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,163788676,2.071122,2,58,2,1,1,,1,1,0,,,1,2,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,1,2,,2,1,1,2,,,,2,,,,1,1,2,1,,,1,2,2,2,1,,,2,2,,,,,1,1,1,2,,,1,1,1,1,2,1,,0,1,2,4,4,1,1,5,1,2,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,138015957,0.272857564,1,19,2,2,2,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,2,1,2,2,1,1,2,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,1,2,2,1,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,2,1,2,1,,1,1,4,4,4,2,2,2,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,130670259,0.892560947,1,42,3,1,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,1,2,1,,,,,,,,,,,2,,,2,2,1,2,1,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,1,,2,,,,,,1,1,1,1,4,1,,0,0,4,2,4,4,4,5,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,177313423,1.374933543,2,35,2,4,1,,1,1,0,1,2,2,,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,3,2,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,2,1,2,1,,0,1,2,4,4,4,2,5,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,175913753,1.907943375,1,23,2,5,2,,1,0,1,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,1,2,2,1,2,,,2,1,1,2,1,,2,2,1,2,1,1,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,3,3,2,,1,1,4,4,4,4,4,5,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,119756035,0.980778976,1,31,2,3,1,,1,1,0,1,2,1,2,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,4,1,,0,0,4,4,4,4,4,5,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,132646249,0.275157698,1,54,3,5,1,,1,1,1,1,1,1,1,1,1,1,1,2,,1,1,2,1,,,,,,1,1,,,,,,,,,,,,,,,,1,2,2,1,1,2,,1,2,1,2,1,,2,2,2,2,2,2,2,,1,3,3,2,,,,2,,,,1,2,2,,,1,1,1,1,2,,,2,2,2,,,,,2,,,,,,2,1,2,3,2,1,,1,0,1,4,4,4,2,5,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,185608286,0.448775213,1,44,1,2,2,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,1,1,1,,,,,,,,,,,2,,,1,2,1,2,1,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,2,1,,2,,,,,,1,1,1,2,3,1,,1,0,4,2,4,4,2,5,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,150082972,0.32511424,2,30,2,5,1,,1,1,1,1,2,1,2,,1,1,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,,,,,,,1,1,2,1,1,1,,1,1,1,2,1,,2,2,2,1,1,1,1,1,3,2,2,1,1,,,1,1,,,1,1,1,2,,,1,2,1,1,,,2,2,2,,,,,2,,,,,,2,2,3,2,1,2,,1,1,1,4,4,4,1,1,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,129306373,0.272857564,1,18,2,5,2,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,1,2,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,1,3,2,1,,0,0,4,4,4,4,4,3,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,155968703,1.512620181,1,31,2,1,1,,1,1,0,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,1,1,2,,,2,,,,,,1,1,1,3,2,1,,1,0,4,1,1,4,4,5,1,2,1,0
